Item_title,Artist,The_Location ,Material ,Description ,Installed ,Latitude,Longitude
Alderley Fossil ,Christopher Trotter,"Shand Street, Alderley",found metals ,Provides a large-scale entry marker as part of the Alderley roundabout upgrade.,2007,-27.417256,153.000192
Industrial Growth,Christopher Trotter,"Boundary and Kellinor Roads, Richlands",found metals ,A pole mounted marker composed of found materials which functions as an entrance to the industrial area.,2007,-27.581306,152.947917
Leaf and Berry Hop,Megan Grinstead,Mt Coot-tha Botanic Gardens,paint,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2007,-27.475769,152.977333
Konstantin Tsiolkovsky,Sergei Bychkov,Mt Coot-tha Botanic Gardens,bronze,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2007,-27.475769,152.977333
Stolen Generation Memorial Plaque ,"Lorrette Burgess, Delores McDonald","King George Square, Brisbane CBD",aluminium ,"In 1998, 5 ceremonial plaques were placed around significant sites in Brisbane near institutions that housed victims of the stolen generation. In the years 1900-1971, as a matter of government policy Aboriginal and Torres Strait Islander children were forcibly removed from their families and culture by representatives of the State with the support of the wider community including Christian churches.",2007,-27.468178,153.023979
The Guardian,Cezary Stulgis,"Ann Street, Brisbane CBD",stainless steel,"The Guardian' is a contemporary mythological figure - half dog, half man.  The sphere in the centre of his body represents his life force, and the tree in his backpack represents the fragility of nature and our link to it.",2008,-27.464333,153.028861
Gargantuans of the Forest Floor,Paul Stumkat,Mt Coot-tha Botanic Gardens,sandstone,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2008,-27.475769,152.977333
"Knock knock, who's there",Gerard Burford,Mt Coot-tha Botanic Gardens,bronze,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Flying Cockatoo Weather vane,Jim Curry,Mt Coot-tha Botanic Gardens,steel,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2008,-27.475769,152.977333
Primordial Trees,Simone Eisler,"Kemp Place Park, Fortitude Valley",cement,"Primordial Trees' delves into different territory by
going back to the past, but presents 'nature' in a way that is evocative to the pedestrian user of the park and at the same time establishes an altered perception of the site that transcends this particular point in time.",2009,-27.459667,153.0345
Red Sticks,Adrian Davis,"Kemp Place Park, Fortitude Valley",steel,"Two sweeping arcs of the sticks, placed at random spacings with varying anges add a visual foil to the major road to the south of the site.  ",2009,-27.459722,153.034583
Epificus,Lincoln Austin,"Ipswich Road, Woolloongabba",stainless steel,"Epificus' is a chain-like structure formed from a simple pattern of repeating modules, creating a link of strength and unity. ",2009,-27.493333,153.034694
"Little Treasures, Northshore Playscape",Fiona Foley,"Northshore, Hamilton ","concrete, aluminium","The collection of elements, themed on native flora and fauna, are intended to be read as both art pieces that appeal to the adult eye, and play items attractive to children.",2009,-27.445033,153.085742
Pandas 'JJ' and 'Zhu',Mark Andrews,Mt Coot-tha Botanic Gardens,steel ,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Monarchus Metallofernii,Steve Langton,Mt Coot-tha Botanic Gardens,steel,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Calls from the canopy,"Emma Boys, Nicola Moss",Mt Coot-tha Botanic Gardens,ceramic  ,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Untitled (croc),Gerard Burford,Mt Coot-tha Botanic Gardens,ceramic  ,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Five Fiddling Foxes (bats),Gerard Burford,Mt Coot-tha Botanic Gardens,ceramic  ,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Think Bigger,Sebastian Moody,"Kemp Place, McLachlan Street, Fortitude Valley",paint,"Intentionally ambiguous, the sign is a continuation of Moody's large public text works which create a place for philosophical contemplation in the urban environment.  The work is purposefully designed to look like graffiti in it's dull colour and bare concrete background.",2009,-27.459972,153.034694
Native Stingless Bee,Laurie Nilsen,Mt Coot-tha Botanic Gardens,bronze,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Rosella and Eucalyptus Leaves,Laurie Nilsen,Mt Coot-tha Botanic Gardens,concrete,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Freshwater Eel Seat,Laurie Nilsen,Mt Coot-tha Botanic Gardens,concrete,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Hurry Up Mum,Glenys Lindsay,Mt Coot-tha Botanic Gardens,bronze,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Dragon,Gerard Burford,Mt Coot-tha Botanic Gardens,concrete,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Forever Free,Pete Smit,Mt Coot-tha Botanic Gardens,bronze,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Circle of Life,Pete Smit,Mt Coot-tha Botanic Gardens,bronze,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Koala Mother and Baby,Glenys Lindsay,Mt Coot-tha Botanic Gardens,bronze,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Forest Jewels,"Lee-Anne Elms, Margot MacManus, Rosalynde Skewes",Mt Coot-tha Botanic Gardens,ceramic,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2008,-27.475769,152.977333
Funky Fungi,Lee-Anne Elms,Mt Coot-tha Botanic Gardens,bronze,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
The King and the Creek Cray,Lee-Anne Elms,Mt Coot-tha Botanic Gardens,stainless steel,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Pair of Ceramic Frogs,Unknown,Mt Coot-tha Botanic Gardens,ceramic  ,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2009,-27.475769,152.977333
Amphibian Heart,Wendy Mills,"Newstead River Park, Newstead",aluminium ,"Amphibian Heart' is a mantle enclosing a system that pumps and filters river water for the Perched Lake. Mills� use of transparent and reflective materials, such as polished stainless steel, glass and water, allow her artworks to hover on the border of the physical while the geometry anchors the forms to our time and place.",2010,-27.448104,153.046206
Subtropical Treasure,Rhyl Hinwood,Mt Coot-tha Botanic Gardens,sandstone,"Subtropical Treasure' depicts rainforest plants that once grew in the area including tree ferns, palms, stinging plants, orchids, wild ginger, wild berries and fungi. Leaves at the base represent the forest floor.",2010,-27.476511,152.974976
Freshwater Lens,Judy Watson,"Corner Little Roma and Lower Turbot, Brisbane CBD",brass,"The suspended sculpture is about a freshwater lens, which is a body of fresh water that pools beneath coral atolls and sand islands, such as Queensland�s Heron Island and Stradbroke Island. The fresh water floats atop the salty seawater, its weight pushing out into a lens shape. Watson describes these as �hidden, fragile, precious jewels, sustaining the environment and all life forms.�",2010,-27.467879,153.022378
Open door,"Hew Chee Fong, L.M. Noonan","St Vincents Road, Banyo",granite,"The �Open Door� installation symbolizes the close knit, welcoming community of Banyo; past and present.",2010,-27.375338,153.077376
Ebb & Flow,Lincoln Austin,"Hale Street & Coronation Drive, Brisbane CBD ",paint,"The work presents a blue three dimensional illusion of movement reflecting the river experience for commuters when travelling through the bikeway culvert, offering a unique and dynamic perspective.",2010,-27.468775,153.011326
Baby mammal suite,Glenys Lindsay,Mt Coot-tha Botanic Gardens,bronze,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2010,-27.475769,152.977333
Cell,Gavan Fenelon,Merivale Street Rail Bridge Riverside Drive Kurilpa Point,steel,Cell' acknowledges individuals who were placed in correctional facilities in Queensland as young people. ,2011,-27.470275,153.013659
Kuta Picnic,Rhyl Hinwood,Mt Coot-tha Botanic Gardens,sandstone,"Entrance to the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2007,-27.475769,152.977333
Boy &  Girl,Terry Summers,"Dunellan Street, Greenslopes",bronze," Designed to capture the eye of passing drivers and local shoppers, the artwork depicts a young boy looking through his binoculars at the city whilst his younger sister pleads for a chance to have a look.",2012,-27.507360,153.050338
Aquatic Botanica,Christopher Trotter,"cnr Wynnum Road and Riding Road, Bulimba ",found metals,"The artist has drawn inspiration from themes that resonate with the local community including Bulimba�s industrial history of shipping, ferries and tin smelters.",2012,-27.469606,153.063856
Venus Rising: Out of the Water into the Light,Wolfgang Buttress,"Kangaroo Point Park, Kangaroo Point",stainless steel,"The sculpture is a contemporary marker for the south eastern end of Kangaroo Point Park, acting as a portal between river and sky.",2012,-27.476488,153.035085
Sea Pitcher,Stephen Short,"Northshore, Hamilton ",fibreglass,Sea Pitcher' is evocative of finger-like mangrove seed pods that hang beneath the mangrove branches. ,2013,-27.450523,153.043445
Preservation,Mel Robson,Kangaroo Point Boardwalk,aluminium ,"Reinterpreting imagery by notable Brisbane identities, CT White, Silvester Diggles and Oscar Tiegs, Preservation draws connections between the past and present and the relationship between people, flora, fauna and place, reminding us to reflect upon the diversity and vitality of the site.",2013,-27.470161,153.034189
"Stones Corner: Any person who has organised their life, their work and themself if a genuine artist. ",Scott Redford,"Cnr Logan Road and Old Cleveland Road, Stones Corner","steel, aluminium, lighting","Sculptures by highly remowned Scott Redford feature bright colours, text and lighting and bring virancy to the Stone's Corner precinct. ",2013,-27.498788,153.044727
"Stones Corner: Any person who has organised their life, their work and themself if a genuine artist. ",Scott Redford,"Cnr Logan Road and Old Cleveland Road, Stones Corner","steel, aluminium, lighting","Sculptures by highly remowned Scott Redford feature bright colours, text and lighting and bring virancy to the Stone's Corner precinct. ",2013,-27.501293,153.04624
Feast of the Bon-yi,Bianca Beetson,Mt Coot-tha Botanic Gardens,bronze,"Commissioned as part of the Childrens Art Trail. Children and parents can explore the Hide 'n' Seek Children's Trail set in the heart of the shady Exotic Rainforest in the Brisbane Botanic Gardens, Mt Coot-tha.",2013,-27.475769,152.977333
Golden Orbs,Michael Candy & Meagan Streader,"Gasometer Plaza, Newstead ",lighting ,"Golden Orbs' consists of interactive light clusters suspended within a series of fractal cloud-like sculptures. The installation presents a beautifully orchestrated display of interactivity, light and industrial form that references the heritage of the Gasworks site",2013,-27.450523,153.043445
Heritage Interpretation,Meagan Streader & Creative Sight,"Gasometer Plaza, Newstead ",concrete,"Words etched into concrete around the Gasometer, relating to 'Golden Orbs' artworks",2013,-27.450523,153.043445
Forage,Carly Kotynski,"Hawkins Drive, St Lucia",aluminium,"A series of seven small sculptures located along Hawkins Drive. The artwork attempts to draw together this socially diverse community and create a sense of friendship, welcome, cheerfulness, warmth and harmony. It will celebrate the importance of the natural environment to this community and the growth and aspirations of its members.",2014,-27.502263,153.005891
Echo Orbit,Sandra Selig,"Brunswick Street Mall, Fortitude Valley",aluminium,"'Echo Orbit' the cables and panels on each of the paired shade structures are installed in a parabolic grid, creating an elliptical opening in each one. Each opening is like a lens which brings into focus the infinitely rhythmic and orbital space above our heads. ",2014,-27.457988,153.034412
Frew Park Figures ,Terry Summers,"Frew Park, Milton ",bronze,"A series of figures installed throughout Frew Park in Milton, which refers to a history of play and recreational memories within the Parkland�s site history. ",2014,-27.469432,153.000419
Apparatus for Germination of Achaemienis Ambulatii (Pony Plant),Russell Anderson,"City Botanic Gardens, Brisbane CBD","stainless steel, bronze, copper","Stainless steel, bronze, copper, custom water dripping system creating a children�s play area. ",2014,-27.476222,153.030833
Sunset Strip,Jennifer Marchant,Fortitude Valley ,concrete,"Located near Echo Orbit, this integrated artwork provides a central feature within the Mall. Yellow concrete ellipses with sandblasted text.",2014,-27.457988,153.034412
Sandcastle Competition,Camile Serisier,"Cnr Bay Terrace and Florence Street, Wynnum ",stainless steel,These tools of enjoyment and fun have held an important place in the historical development of Wynnum and automatically ignite a celebration of its coastal location.,2015,-27.443550,153.173479
Reverie I,Charles Robb,"Gardens Point Road, Brisbane CBD","epoxy resin, slate powder, fibregass and steel ","The forms of �Reverie I� has been derived from 18th century sculptural portraiture. The twisting forms of the highly styled wig known as a periwig were abstracted and inventive, while also bestowing an air of intellectual authority. Curls also evoke two aspects of this particular site: the erratic movement of water associated with the complex tidal movements of Brisbane River, and a state of mental reflection relevant to both the nearby university grounds (where intellectual work takes place) and the riverside pathway (a site for daydreaming).",2015,-27.478687,153.029233
Emblem,Geoffrey Ricardo,"George Street and Roma Street, Brisbane CBD",stainless steel,Emblem' is a humorous and playful re-imagining of the kangaro ofrom the Australian Coat of Arms. It is inspired by the peculiar notion of using an animal totem to represent the virtues of a group or culture which is ambivalent towards it. ,2015,-27.467002,153.019839
Spinning Top,Jarrad Kennedy,"Turbot, Wickham and Boundary streets, 
Fortitude Valley","aluminium, brass, ceramic, copper",Spinning Top' is a standalone sculpture of a replica of the dome of the Holy Name Cathedral which was never built.,2015,-27.461674,153.031015
Tree,James and Eleanor Avery,"Cnr Barrack and Wynnum Road, Cannon Hill ",aluminium,"Tree' celebrates the natural and cultural history of Cannon Hill, referencing an account of how the suburb was named. The story in question suggests that early surveyors of the area saw fallen trees and thought they looked like cannons.",2015,-27.468179,153.089034
Growth,Matthew Harding,"Moggil Road, Kenmore",stainless steel,The rhythms and patterns of nature can be reflected in the growth and aspiration of community. Growth explores the history and stories which have shaped the identity and community of Kenmore. ,2015,-27.507655,152.938634
Inhabitants of Alderley ,Terry Summers,"Samford Rd and South Pine Rd, Alderley",aluminium,"Terry Summers' series of 12 cast aluminium sculptures celebrate the social character and values of Alderley, as well as portraying the natural and cultural context of the suburb's past and present.",2016,-27.425152,153.001136
Graceville Wunderkammer No. 1 - No. 2,Deb Mostert,"Honour Ave, Graceville",bronze,"These Graceville Wunderkammer or �cabinet of curiosities� will contain objects of local social history, natural history and will be housed in a quirky, offbeat replica of an antique metal dentist cabinet. ",2016,-27.522735,152.976475
PoinsettiaRiverfire,Luke Roberts,"Emma Miller Place, Brisbane CBD",stainless steel,"The sculpture references Brisbane's official floral emblem, the Poinsettia, and celebrates the annual Riverfire Festival and other popular fireworks displays which take place throughout the year in Brisbane.",2016,-27.466978,153.021184
Lighter -than-Air Concrete,Russell Anderson,"Rocks Riverside Park, Seventeen Mile Rocks","stainless steel, concrete, aluminium ",�Lighter Than Air Concrete� plays on the former occupation of the site by Queensland Cement & Lime. ,2016,-27.540630,152.957971
Apparatus for Transtemporal Praedicto of Prodigium Futurum,Russell Anderson,"Cnr Honour Ave and Bank Rd, Graceville ","copper, bronze, stainless steel, lighting ",Delivered as the signature artorks for the Graceville SCIP in 2016. The sculpture has three different viewing heads/portals. Inside each head is a simple automata theatrette featuring a local scene in the throes of disaster.,2016,-27.521863,152.976081
Suburban Wilderness Trail - Beasties of Alderley,"Mark Gerada, Tega Brain, Diego Bonetto",Alderley,aluminium ,"Series of 15 metal signs featuring stories, drawings and information of various species in habiting the neighbourhood.",2016,-27.425152,153.001136
Lounge Around,Scott Harrower,"Latrobe Terrace, Paddington ","concrete, mosaic","'Lounge Around' creates an illusion of relaxation with mosaic pattern acting as a throw rug atop a wide ottoman. The scatter cushion seems soft with its indentations and folds in the fabric, resting next to a stack of books. The cover of the book at the top of the stack is handcut mosaic that reads 'Turrbal Country' as its title, in respect of the Indigenous people of the Brisbane region prior to European settlement.",2016,-27.459500,152.992417
Flower by the Gate,Pamela See,"Edward Street, Brisbane CBD",bronze,,2017,-27.471845,153.02729
The Human Factor Series - The Juggler,"John Underwood, Artbusters ","King George Square, Brisbane CBD",aluminium,"The cushion is designed with a tartan pattern that appropriates the surrounding geographical Streets, Avenues and Terraces of the Paddington district. It also honours the history the original inhabitants, the Turrbal people, whose pathways were built upon to form Brisbane�s road infrastructure.",2017,-27.468068,153.024300
The Human Factor Series - The Trapeze Artist ,"John Underwood, Artbusters ","King George Square, Brisbane CBD",aluminium,The Human Factor series was created by Brisbane�s Artbusters in the late 1980�s. The first iterations of this iconic series were installed throughout the World Expo 88 site.,2017,-27.46855,153.024829
Rapture,Stephen Hart ,"Market and Charlotte Streets, Brisbane CBD",bronze,"The title 'Rapture' suggests the uplifting potential that is human connectivity, a potential implicit in a modern city. The sculpture depicts two attenuated figures connecting at the heads in a dynamic vertical cantilever.",2017,-27.469233,153.02937
Flow,Christopher Trotter,"Annie Street, Kangaroo Point",found metals ,"Flow' was originally commissioned for the Creation Symposium held in New Farm Park in 2006, and relocated to Kangaroo Point in 2017.",2017,-27.466105,153.034095
Steam Machine,James and Eleanor Avery,"Cnr Fish Lane and Hope Street, South Brisbane",Aluminium and automative spray paint,"Steam Machine celebrates the industrial and architectural heritage of the Fish Lane Precinct. Two abstracted jets of 'steam' make direct reference to the historical Brisbane Steam Laundry and the Eodone Aerated Water Company, which were sited nearby.",2017,-27.474014,153.017174
The Human Factor Series - The Botanists ,"John Underwood, Artbusters ",Mt Coot-tha Botanic Gardens,bronze,The Human Factor series was created by Brisbane�s Artbusters in the late 1980�s. The first iterations of this iconic series were installed throughout the World Expo 88 site.,2018,-27.475508,152.978155
The Human Factor Series - The Dancers ,"John Underwood, Artbusters ","Melbourne Street, South Brisbane",bronze,The Human Factor series was created by Brisbane�s Artbusters in the late 1980�s. The first iterations of this iconic series were installed throughout the World Expo 88 site.,2018,-27.476174,153.01454
Cr Clem Jones,Phillip Piperides,"Adelaide Street, Brisbane CBD",bronze,"Bronze sculpture depicting Dr Clem Jones, donated by the Clem Jones Group in 2018. ",2018,-27.469377,153.023653
Remainders,Jamie North,Mt Coot-tha Botanic Gardens,"bronze, native Ficus","Remainder No. 20 and No. 21' sphere's appear eroded, revealing highly textured aggregate beneath their smooth surface. They exist in a state between the natural and the fabricated, a metaphor for the highly altered natural environments that we live in today. ",2018,-27.476512,152.977315
Large Arcs,Anna Varendorff ,Mt Coot-tha Botanic Gardens,"brass, organics ","Large Arcs' is minimal in form, smooth matte brass sweeping upwards towards the sky. It is in contrast to the organic and unpredictable beauty of the plants both in the work and around it. ",2018,-27.475983,152.977589
The Human Factor Series - The Drover and His Mate,"John Underwood, Artbusters ","Cnr King Street &  Gregory Terrace, Bowen Hills ",bronze,"The first iterations of this iconic series were
installed throughout the World Expo �88 site.
The figures seen today have been
re-imaged and re-cast, giving residents and visitors a sense of the celebration that World Expo '88 was.",2019,-27.451167,153.032412
The Human Factor Series - Be Prepared,"John Underwood, Artbusters ","Scout Place, River Terrace, Kangaroo Point",bronze,"The first iterations of this iconic series were
installed throughout the World Expo �88 site.
The figures seen today have been
re-imaged and re-cast, giving residents and visitors a sense of the celebration that World Expo '88 was. Donated by Scout's Queensland, 2019. ",2019,-27.480944,153.033056
The Human Factor Series - The Skater,"John Underwood, Artbusters ","Murrarie Recreation Reserve, Murrarie",bronze,"The first iterations of this iconic series were
installed throughout the World Expo �88 site.
The figures seen today have been
re-imaged and re-cast, giving residents and visitors a sense of the celebration that World Expo '88 was.",2019,-27.470250,153.103778
Gone to Seed,Stuart Green,Mt Coot-tha Botanic Gardens,"aluminium, synthetic polymer","Gone to Seed' is a vibrant, husk-like form that references the complex seed and fruit forms in the Botanic Gardens.",2019,-27.475983,152.977703
You are my sunshine ,Priscilla Bracks ,"Beirne Lane, Fortitude Valley","stainless steel, perspex, resin, pressed aluminium, buttons, glass beads, LED�s, custom code and electronics","You Are My Sunshine�adorns Beirne Lane in Brisbane�s Fortitude Valley like a giant, hand-crafted jewel that glistens with colour-changing light.The artwork materially captures the memories associated with these spaces using pressed metal and decorative glass commonly found in Queensland architecture, together with a centre-piece of buttons and glass beads that once might have been sold by TC Beirne.  ",2019,-27.458123,153.034148
The magic lies in the spaces between ,Courtney Coombs ,"Bothwell Link, Mt Gravatt ",neon ,"Courtney Coombs artwork,�The magic lies in the spaces between,�responds to the vibrant, multicultural community of Mount Gravatt, celebrating difference, embracing the unknown and seeing the spaces between us for the magic they can create",2019,-27.538024,153.079358
Pop!,Belinda Smith ,"Cnr Old Cleveland and Cavendish Roads, Coorparoo ","aluminium, paint","The Roxy Theatre once stood here in the exciting early days of Cinema. Pop! celebrates the return of cinema to this corner of Coorparoo. Through the quintessential movie snack, popcorn, the artwork is a playful reference to our sensory connection to cinema.",2020,-27.494297,153.059059
Roots,Hiromi Tango,Mt Coot-tha Botanic Gardens,bronze,"In Roots, Hiromi Tango explores relationships between people, nature and environments. She worked with the staff and volunteers of the Brisbane Botanic Gardens, Mt Coot-tha to understand the history and stories of place, and to access diver se plant species. A selection of species was cast from life in bronze to create the final sculpture, which offers a reflection of our connectedness and growth to nature and each other. ",2020,-27.475983,152.977589
Jemmy Morrill and the brolgas,Lindsay Daen,"City Botanic Gardens, Brisbane CBD",bronze,"Bronze sculptures depicting Jemmy Morrill and two brolgas with wings outstretched. 22 year old seaman, James Morrill was the sole survivor of a shipwreck on the outer edge of the Great Barrier Reef in 1846.",1993,-27.475389,153.030806
